timestamp;maquina;tipo_maquina;modo_operacion;temperatura [ºC;vibracion [mm/s];presion [bar];rpm_motor [rpm];horas_funcionamiento [h];dias_desde_mantenimiento [días
02/01/2025 21:00;MCH_01;bomba;intermitente;75.12;1.58;25.7;1335.35;28;47
02/01/2025 22:00;MCH_01;bomba;intermitente;67.91;2.25;25.63;1478.99;29;48
02/01/2025 23:00;MCH_01;bomba;intermitente;79.24;1.57;27.19;1570.74;30;49
03/01/2025 0:00;MCH_01;bomba;intermitente;76.85;0.98;30.15;1564.72;31;50
03/01/2025 1:00;MCH_01;bomba;intermitente;72.68;1.31;26.8;1491.73;32;51
03/01/2025 2:00;MCH_01;bomba;intermitente;77.53;1.09;24.09;1443.07;33;52
03/01/2025 3:00;MCH_01;bomba;intermitente;72.96;1.04;25.05;1447.09;34;53
03/01/2025 4:00;MCH_01;bomba;intermitente;74.0;1.58;33.57;1477.97;34;54
03/01/2025 5:00;MCH_01;bomba;intermitente;78.49;2.07;28.31;1473.26;35;55
03/01/2025 6:00;MCH_01;bomba;intermitente;72.66;1.78;25.08;1454.88;36;56
03/01/2025 7:00;MCH_01;bomba;intermitente;78.98;1.16;25.81;1573.44;37;57
03/01/2025 8:00;MCH_01;bomba;intermitente;78.02;1.45;24.95;1423.69;38;58
03/01/2025 9:00;MCH_01;bomba;intermitente;74.53;1.08;26.45;1354.67;39;59
03/01/2025 10:00;MCH_01;bomba;intermitente;70.84;1.6;29.82;1418.95;40;60
03/01/2025 11:00;MCH_01;bomba;intermitente;77.3;1.41;29.04;1376.4;41;61
03/01/2025 12:00;MCH_01;bomba;intermitente;71.55;1.72;24.23;1285.34;42;62
03/01/2025 13:00;MCH_01;bomba;intermitente;70.42;1.85;28.25;1559.61;42;63
03/01/2025 14:00;MCH_01;bomba;intermitente;79.66;1.29;24.66;1386.81;43;64
03/01/2025 15:00;MCH_01;bomba;intermitente;77.93;1.73;22.93;1546.88;44;65
03/01/2025 16:00;MCH_01;bomba;intermitente;70.75;1.29;29.92;1386.77;45;66
03/01/2025 17:00;MCH_01;bomba;intermitente;79.13;1.83;29.33;1519.84;46;67
03/01/2025 18:00;MCH_01;bomba;intermitente;75.87;1.68;32.02;1252.9;46;68
03/01/2025 19:00;MCH_01;bomba;intermitente;74.83;1.38;25.88;1465.92;47;69
03/01/2025 20:00;MCH_01;bomba;intermitente;72.33;1.82;27.25;1593.06;47;70
03/01/2025 21:00;MCH_01;bomba;intermitente;78.13;1.15;29.45;1204.72;48;71
03/01/2025 22:00;MCH_01;bomba;intermitente;74.3;1.47;32.7;1429.3;48;72
03/01/2025 23:00;MCH_01;bomba;intermitente;69.69;1.67;30.25;1697.15;49;73
04/01/2025 0:00;MCH_01;bomba;intermitente;71.84;1.41;26.1;1690.04;50;74
04/01/2025 1:00;MCH_01;bomba;intermitente;77.21;1.34;28.85;1538.96;51;75
04/01/2025 2:00;MCH_01;bomba;intermitente;78.08;1.89;28.18;1551.76;52;76
04/01/2025 3:00;MCH_01;bomba;intermitente;75.62;1.77;31.92;1391.42;53;77
04/01/2025 4:00;MCH_01;bomba;intermitente;79.88;1.49;26.85;1375.98;53;78
04/01/2025 5:00;MCH_01;bomba;intermitente;75.52;1.7;24.28;1400.05;53;79
04/01/2025 6:00;MCH_01;bomba;intermitente;74.18;1.6;27.35;1549.42;53;80
04/01/2025 7:00;MCH_01;bomba;intermitente;72.0;1.73;25.8;1433.0;54;81
04/01/2025 8:00;MCH_01;bomba;intermitente;74.17;1.29;28.27;1284.82;55;82
04/01/2025 9:00;MCH_01;bomba;intermitente;75.1;1.69;28.75;1582.34;56;83
04/01/2025 10:00;MCH_01;bomba;intermitente;67.72;1.48;25.53;1499.12;57;84
04/01/2025 11:00;MCH_01;bomba;intermitente;70.97;1.79;27.35;1576.15;58;85
04/01/2025 12:00;MCH_01;bomba;intermitente;77.73;1.37;27.35;1547.38;58;86
04/01/2025 13:00;MCH_01;bomba;intermitente;74.55;1.81;27.24;1588.84;58;87
04/01/2025 14:00;MCH_01;bomba;intermitente;76.95;1.22;29.5;1453.29;58;88
04/01/2025 15:00;MCH_01;bomba;intermitente;75.8;1.4;26.98;1418.95;59;89
04/01/2025 16:00;MCH_01;bomba;intermitente;71.94;1.34;28.63;1509.57;59;90
04/01/2025 17:00;MCH_01;bomba;intermitente;73.18;1.31;27.93;1305.66;60;1
04/01/2025 18:00;MCH_01;bomba;intermitente;80.1;1.23;31.96;1365.15;61;2
04/01/2025 19:00;MCH_01;bomba;intermitente;75.15;1.16;28.79;1623.95;62;3
04/01/2025 20:00;MCH_01;bomba;intermitente;75.16;1.29;25.79;1398.95;62;4
04/01/2025 21:00;MCH_01;bomba;intermitente;71.03;1.52;28.06;1461.84;63;5
04/01/2025 22:00;MCH_01;bomba;intermitente;77.18;1.96;28.73;1522.62;64;6
04/01/2025 23:00;MCH_01;bomba;intermitente;68.6;1.42;26.72;1495.32;65;7
05/01/2025 0:00;MCH_01;bomba;intermitente;76.29;1.76;29.34;1570.41;66;8
05/01/2025 1:00;MCH_01;bomba;intermitente;78.64;0.82;28.46;1357.68;67;9
05/01/2025 2:00;MCH_01;bomba;intermitente;78.17;1.0;27.0;1362.46;68;10
05/01/2025 3:00;MCH_01;bomba;intermitente;73.52;2.03;30.73;1398.92;69;11
05/01/2025 4:00;MCH_01;bomba;intermitente;78.13;1.69;26.35;1323.31;69;12
05/01/2025 5:00;MCH_01;bomba;intermitente;76.48;1.59;26.21;1606.54;69;13
05/01/2025 6:00;MCH_01;bomba;intermitente;72.29;2.03;26.7;1492.97;70;14
05/01/2025 7:00;MCH_01;bomba;intermitente;75.06;1.43;33.04;1511.56;70;15
05/01/2025 8:00;MCH_01;bomba;intermitente;72.74;1.05;25.16;1408.33;70;16
05/01/2025 9:00;MCH_01;bomba;intermitente;70.39;1.75;29.55;1480.84;71;17
05/01/2025 10:00;MCH_01;bomba;intermitente;71.6;1.48;26.03;1513.09;72;18
05/01/2025 11:00;MCH_01;bomba;intermitente;79.25;1.55;22.99;1446.91;72;19
05/01/2025 12:00;MCH_01;bomba;intermitente;75.36;2.04;25.3;1380.94;72;20
05/01/2025 13:00;MCH_01;bomba;intermitente;72.15;1.61;27.08;1364.68;73;21
05/01/2025 14:00;MCH_01;bomba;intermitente;75.64;1.56;26.63;1603.99;74;22
05/01/2025 15:00;MCH_01;bomba;intermitente;68.79;1.55;28.12;1598.34;74;23
05/01/2025 16:00;MCH_01;bomba;intermitente;66.94;1.57;30.92;1721.51;74;24
05/01/2025 17:00;MCH_01;bomba;intermitente;70.34;1.68;30.11;1414.81;75;25
05/01/2025 18:00;MCH_01;bomba;intermitente;72.43;0.98;29.09;1482.7;76;26
05/01/2025 19:00;MCH_01;bomba;intermitente;72.56;1.36;28.74;1419.68;77;27
05/01/2025 20:00;MCH_01;bomba;intermitente;78.21;1.88;28.24;1382.36;78;28
05/01/2025 21:00;MCH_01;bomba;intermitente;74.66;2.28;30.62;1473.43;79;29
05/01/2025 22:00;MCH_01;bomba;intermitente;77.3;1.5;24.21;1480.96;80;30
05/01/2025 23:00;MCH_01;bomba;intermitente;76.16;1.45;27.42;1465.21;81;31
06/01/2025 0:00;MCH_01;bomba;intermitente;74.24;1.54;26.18;1611.8;81;32
06/01/2025 1:00;MCH_01;bomba;intermitente;73.0;0.97;24.47;1422.46;82;33
06/01/2025 2:00;MCH_01;bomba;intermitente;77.93;1.18;26.85;1423.83;83;34
06/01/2025 3:00;MCH_01;bomba;intermitente;76.48;1.62;30.73;1328.25;84;35
06/01/2025 4:00;MCH_01;bomba;intermitente;78.55;1.27;24.81;1373.09;85;36
06/01/2025 5:00;MCH_01;bomba;intermitente;77.38;1.68;23.48;1466.22;86;37
06/01/2025 6:00;MCH_01;bomba;intermitente;76.19;1.64;28.46;1513.34;87;38
06/01/2025 7:00;MCH_01;bomba;intermitente;70.78;1.71;24.28;1474.6;88;39
06/01/2025 8:00;MCH_01;bomba;intermitente;75.97;1.44;27.22;1586.13;89;40
06/01/2025 9:00;MCH_01;bomba;intermitente;70.53;1.78;28.14;1543.81;89;41
06/01/2025 10:00;MCH_01;bomba;intermitente;76.95;1.42;27.62;1502.66;90;42
06/01/2025 11:00;MCH_01;bomba;intermitente;77.66;1.62;25.53;1394.59;91;43
06/01/2025 12:00;MCH_01;bomba;intermitente;69.44;1.61;26.79;1568.98;91;44
06/01/2025 13:00;MCH_01;bomba;intermitente;82.38;1.65;25.85;1475.67;92;45
06/01/2025 14:00;MCH_01;bomba;intermitente;71.87;1.92;29.69;1491.02;93;46
06/01/2025 15:00;MCH_01;bomba;intermitente;71.85;1.64;27.56;1565.51;93;47
06/01/2025 16:00;MCH_01;bomba;intermitente;74.44;1.73;27.45;1414.5;93;48
06/01/2025 17:00;MCH_01;bomba;intermitente;72.85;1.88;28.33;1718.21;94;49
06/01/2025 18:00;MCH_01;bomba;intermitente;73.02;1.68;29.09;1389.69;95;50
06/01/2025 19:00;MCH_01;bomba;intermitente;72.9;1.63;30.33;1501.14;96;51
06/01/2025 20:00;MCH_01;bomba;intermitente;73.74;1.48;27.71;1356.26;97;52
06/01/2025 21:00;MCH_01;bomba;intermitente;72.52;1.68;29.5;1652.76;98;53
06/01/2025 22:00;MCH_01;bomba;intermitente;77.78;1.02;27.12;1335.49;98;54
06/01/2025 23:00;MCH_01;bomba;intermitente;77.58;1.19;25.63;1537.28;99;55
07/01/2025 0:00;MCH_01;bomba;intermitente;72.52;1.4;31.45;1643.66;100;56
07/01/2025 1:00;MCH_01;bomba;intermitente;81.34;1.14;26.9;1423.87;101;57
07/01/2025 2:00;MCH_01;bomba;intermitente;75.75;0.94;29.43;1415.02;102;58
07/01/2025 3:00;MCH_01;bomba;intermitente;72.07;1.08;26.74;1272.41;103;59
07/01/2025 4:00;MCH_01;bomba;intermitente;80.02;1.64;26.41;1432.71;103;60
07/01/2025 5:00;MCH_01;bomba;intermitente;75.34;0.97;28.1;1552.57;104;61
07/01/2025 6:00;MCH_01;bomba;intermitente;75.24;1.41;27.0;1342.13;105;62
07/01/2025 7:00;MCH_01;bomba;intermitente;77.53;1.61;27.36;1414.49;106;63
07/01/2025 8:00;MCH_01;bomba;intermitente;77.01;1.27;27.46;1504.05;107;64
07/01/2025 9:00;MCH_01;bomba;intermitente;79.34;1.58;28.66;1486.3;107;65
07/01/2025 10:00;MCH_01;bomba;intermitente;73.41;1.22;24.2;1503.18;107;66
07/01/2025 11:00;MCH_01;bomba;intermitente;76.94;1.86;28.47;1437.01;108;67
07/01/2025 12:00;MCH_01;bomba;intermitente;73.86;2.03;27.68;1315.35;108;68
07/01/2025 13:00;MCH_01;bomba;intermitente;75.89;1.64;28.39;1494.63;109;69
07/01/2025 14:00;MCH_01;bomba;intermitente;72.54;0.82;28.05;1467.81;110;70
07/01/2025 15:00;MCH_01;bomba;intermitente;74.52;1.84;24.17;1549.75;111;71
07/01/2025 16:00;MCH_01;bomba;intermitente;78.54;1.32;29.38;1272.47;112;72
07/01/2025 17:00;MCH_01;bomba;intermitente;67.49;1.52;28.35;1532.11;113;73
07/01/2025 18:00;MCH_01;bomba;intermitente;84.18;1.94;25.81;1391.53;113;74
07/01/2025 19:00;MCH_01;bomba;intermitente;69.7;1.48;26.1;1279.03;113;75
07/01/2025 20:00;MCH_01;bomba;intermitente;75.66;1.18;30.13;1375.75;114;76
07/01/2025 21:00;MCH_01;bomba;intermitente;76.96;1.55;30.78;1591.98;115;77
07/01/2025 22:00;MCH_01;bomba;intermitente;81.09;1.66;29.54;1382.27;116;78
07/01/2025 23:00;MCH_01;bomba;intermitente;77.79;1.76;32.19;1542.4;117;79
08/01/2025 0:00;MCH_01;bomba;intermitente;69.33;1.44;29.08;1437.25;118;80
08/01/2025 1:00;MCH_01;bomba;intermitente;72.89;1.49;28.52;1351.4;119;81
08/01/2025 2:00;MCH_01;bomba;intermitente;70.73;1.64;26.66;1554.14;120;82
08/01/2025 3:00;MCH_01;bomba;intermitente;69.51;1.5;24.1;1474.09;120;83
08/01/2025 4:00;MCH_01;bomba;intermitente;70.37;1.72;28.54;1489.39;120;84
08/01/2025 5:00;MCH_01;bomba;intermitente;78.09;1.06;27.86;1528.23;120;85
08/01/2025 6:00;MCH_01;bomba;intermitente;78.13;1.66;24.67;1367.37;120;86
08/01/2025 7:00;MCH_01;bomba;intermitente;71.72;1.18;28.62;1363.2;121;87
08/01/2025 8:00;MCH_01;bomba;intermitente;77.02;1.11;29.69;1594.41;122;88
08/01/2025 9:00;MCH_01;bomba;intermitente;72.86;1.42;28.03;1345.63;123;89
08/01/2025 10:00;MCH_01;bomba;intermitente;70.01;2.1;26.08;1413.82;124;90
08/01/2025 11:00;MCH_01;bomba;intermitente;73.19;1.81;27.61;1320.07;125;1
08/01/2025 12:00;MCH_01;bomba;intermitente;73.91;1.2;26.33;1352.81;125;2
08/01/2025 13:00;MCH_01;bomba;intermitente;76.72;1.49;28.53;1476.73;126;3
08/01/2025 14:00;MCH_01;bomba;intermitente;75.24;1.84;27.48;1465.72;126;4
08/01/2025 15:00;MCH_01;bomba;intermitente;77.01;1.12;25.02;1592.98;126;5
08/01/2025 16:00;MCH_01;bomba;intermitente;74.22;1.98;28.83;1515.52;127;6
08/01/2025 17:00;MCH_01;bomba;intermitente;74.76;1.33;28.35;1517.73;128;7
08/01/2025 18:00;MCH_01;bomba;intermitente;75.75;1.35;29.78;1640.86;129;8
08/01/2025 19:00;MCH_01;bomba;intermitente;77.7;1.41;28.88;1539.11;130;9
08/01/2025 20:00;MCH_01;bomba;intermitente;71.89;1.38;27.94;1491.87;130;10
08/01/2025 21:00;MCH_01;bomba;intermitente;72.48;1.42;27.21;1435.1;131;11
08/01/2025 22:00;MCH_01;bomba;intermitente;72.31;2.0;27.11;1335.3;131;12
08/01/2025 23:00;MCH_01;bomba;intermitente;77.87;1.44;29.17;1526.88;132;13
09/01/2025 0:00;MCH_01;bomba;intermitente;69.48;1.81;28.93;1644.99;132;14
09/01/2025 1:00;MCH_01;bomba;intermitente;73.67;1.18;26.36;1393.72;133;15
09/01/2025 2:00;MCH_01;bomba;intermitente;74.56;0.96;28.96;1397.41;134;16
09/01/2025 3:00;MCH_01;bomba;intermitente;71.49;1.72;27.82;1488.81;135;17
09/01/2025 4:00;MCH_01;bomba;intermitente;72.57;1.63;30.68;1437.69;135;18
09/01/2025 5:00;MCH_01;bomba;intermitente;70.32;1.59;29.52;1572.65;136;19
09/01/2025 6:00;MCH_01;bomba;intermitente;80.33;1.58;30.89;1409.52;137;20
09/01/2025 7:00;MCH_01;bomba;intermitente;76.62;1.64;27.05;1432.65;138;21
09/01/2025 8:00;MCH_01;bomba;intermitente;76.4;1.32;28.46;1224.26;139;22
09/01/2025 9:00;MCH_01;bomba;intermitente;74.71;1.61;29.4;1576.41;140;23
09/01/2025 10:00;MCH_01;bomba;intermitente;77.53;1.86;23.7;1461.58;141;24
09/01/2025 11:00;MCH_01;bomba;intermitente;75.68;1.32;30.58;1389.33;142;25
09/01/2025 12:00;MCH_01;bomba;intermitente;79.7;1.97;29.85;1682.25;142;26
09/01/2025 13:00;MCH_01;bomba;intermitente;70.67;1.61;28.48;1493.7;143;27
09/01/2025 14:00;MCH_01;bomba;intermitente;74.58;1.7;29.96;1458.68;144;28
09/01/2025 15:00;MCH_01;bomba;intermitente;80.33;0.91;27.52;1549.35;145;29
09/01/2025 16:00;MCH_01;bomba;intermitente;72.22;1.26;30.98;1397.35;145;30
09/01/2025 17:00;MCH_01;bomba;intermitente;76.2;1.68;31.69;1451.48;145;31
09/01/2025 18:00;MCH_01;bomba;intermitente;74.97;1.1;27.29;1431.82;145;32
09/01/2025 19:00;MCH_01;bomba;intermitente;67.69;1.34;30.75;1364.44;145;33
09/01/2025 20:00;MCH_01;bomba;intermitente;77.01;1.84;28.91;1590.01;146;34
09/01/2025 21:00;MCH_01;bomba;intermitente;74.38;2.22;27.75;1467.08;147;35
09/01/2025 22:00;MCH_01;bomba;intermitente;73.91;0.94;28.46;1412.38;148;36
09/01/2025 23:00;MCH_01;bomba;intermitente;75.23;1.24;30.32;1335.56;148;37
10/01/2025 0:00;MCH_01;bomba;intermitente;73.2;1.47;27.49;1205.0;149;38
10/01/2025 1:00;MCH_01;bomba;intermitente;80.8;1.04;24.99;1311.6;150;39
10/01/2025 2:00;MCH_01;bomba;intermitente;75.05;1.1;28.62;1355.78;151;40
10/01/2025 3:00;MCH_01;bomba;intermitente;75.58;1.22;26.39;1518.56;151;41
10/01/2025 4:00;MCH_01;bomba;intermitente;74.99;1.88;30.18;1585.33;152;42
10/01/2025 5:00;MCH_01;bomba;intermitente;73.64;1.56;28.85;1453.65;153;43
10/01/2025 6:00;MCH_01;bomba;intermitente;70.08;1.72;32.04;1502.88;153;44
10/01/2025 7:00;MCH_01;bomba;intermitente;75.62;1.19;26.78;1416.52;154;45
10/01/2025 8:00;MCH_01;bomba;intermitente;76.17;1.51;25.08;1571.8;154;46
10/01/2025 9:00;MCH_01;bomba;intermitente;78.1;1.19;27.56;1480.16;154;47
10/01/2025 10:00;MCH_01;bomba;intermitente;74.22;1.07;26.58;1527.52;155;48
10/01/2025 11:00;MCH_01;bomba;intermitente;75.97;1.42;29.48;1483.61;156;49
10/01/2025 12:00;MCH_01;bomba;intermitente;73.08;1.59;25.9;1412.23;157;50
10/01/2025 13:00;MCH_01;bomba;intermitente;75.29;1.97;29.1;1432.59;158;51
10/01/2025 14:00;MCH_01;bomba;intermitente;69.03;1.96;26.53;1299.08;159;52
10/01/2025 15:00;MCH_01;bomba;intermitente;77.37;1.81;31.47;1618.38;160;53
10/01/2025 16:00;MCH_01;bomba;intermitente;71.36;1.93;27.19;1442.94;161;54
10/01/2025 17:00;MCH_01;bomba;intermitente;75.71;1.59;26.65;1286.85;162;55
10/01/2025 18:00;MCH_01;bomba;intermitente;78.69;1.79;31.86;1513.6;162;56
10/01/2025 19:00;MCH_01;bomba;intermitente;72.64;1.04;28.95;1519.44;163;57
10/01/2025 20:00;MCH_01;bomba;intermitente;73.97;1.09;26.61;1477.37;163;58
10/01/2025 21:00;MCH_01;bomba;intermitente;78.27;1.69;30.15;1397.4;164;59
10/01/2025 22:00;MCH_01;bomba;intermitente;75.38;1.95;23.92;1459.81;165;60
10/01/2025 23:00;MCH_01;bomba;intermitente;77.74;1.19;29.8;1518.88;166;61
11/01/2025 0:00;MCH_01;bomba;intermitente;71.7;1.36;21.91;1332.17;166;62
11/01/2025 1:00;MCH_01;bomba;intermitente;73.67;1.5;23.76;1454.13;167;63
11/01/2025 2:00;MCH_01;bomba;intermitente;75.05;1.38;29.33;1564.61;167;64
11/01/2025 3:00;MCH_01;bomba;intermitente;81.72;1.27;30.92;1535.71;168;65
11/01/2025 4:00;MCH_01;bomba;intermitente;73.68;1.53;25.05;1284.82;168;66
11/01/2025 5:00;MCH_01;bomba;intermitente;75.78;1.75;29.61;1354.31;168;67
11/01/2025 6:00;MCH_01;bomba;intermitente;75.89;2.07;27.65;1455.0;169;68
11/01/2025 7:00;MCH_01;bomba;intermitente;73.04;1.27;24.97;1562.91;170;69
11/01/2025 8:00;MCH_01;bomba;intermitente;74.87;1.2;33.12;1588.64;171;70
11/01/2025 9:00;MCH_01;bomba;intermitente;74.95;1.92;26.79;1638.33;172;71
11/01/2025 10:00;MCH_01;bomba;intermitente;70.15;1.66;27.37;1449.51;173;72
11/01/2025 11:00;MCH_01;bomba;intermitente;76.23;1.16;25.76;1377.43;174;73
11/01/2025 12:00;MCH_01;bomba;intermitente;71.76;1.41;30.06;1454.14;174;74
11/01/2025 13:00;MCH_01;bomba;intermitente;71.15;1.72;26.18;1371.36;175;75
11/01/2025 14:00;MCH_01;bomba;intermitente;75.77;1.02;28.74;1409.81;176;76
11/01/2025 15:00;MCH_01;bomba;intermitente;74.03;1.43;25.9;1491.76;177;77
11/01/2025 16:00;MCH_01;bomba;intermitente;72.19;2.07;29.05;1467.45;178;78
11/01/2025 17:00;MCH_01;bomba;intermitente;76.66;1.83;27.69;1411.59;179;79
11/01/2025 18:00;MCH_01;bomba;intermitente;72.56;1.84;29.5;1365.05;180;80
11/01/2025 19:00;MCH_01;bomba;intermitente;73.69;1.9;27.96;1415.57;181;81
11/01/2025 20:00;MCH_01;bomba;intermitente;72.02;1.49;30.28;1515.23;181;82
11/01/2025 21:00;MCH_01;bomba;intermitente;68.01;1.24;26.41;1365.86;182;83
11/01/2025 22:00;MCH_01;bomba;intermitente;71.31;1.21;29.32;1363.93;182;84
11/01/2025 23:00;MCH_01;bomba;intermitente;71.89;1.88;27.42;1325.49;183;85
12/01/2025 0:00;MCH_01;bomba;intermitente;76.41;1.83;28.59;1283.27;183;86
12/01/2025 1:00;MCH_01;bomba;intermitente;79.36;1.32;24.47;1274.42;184;87
12/01/2025 2:00;MCH_01;bomba;intermitente;75.65;0.77;25.73;1404.54;185;88
12/01/2025 3:00;MCH_01;bomba;intermitente;77.54;1.46;27.64;1607.91;186;89
12/01/2025 4:00;MCH_01;bomba;intermitente;71.16;1.16;28.24;1728.19;187;90
12/01/2025 5:00;MCH_01;bomba;intermitente;77.39;1.21;27.65;1476.06;188;1
12/01/2025 6:00;MCH_01;bomba;intermitente;73.78;1.49;28.36;1471.88;188;2
12/01/2025 7:00;MCH_01;bomba;intermitente;74.26;1.32;29.19;1622.44;189;3
12/01/2025 8:00;MCH_01;bomba;intermitente;70.46;1.3;26.18;1732.73;189;4
12/01/2025 9:00;MCH_01;bomba;intermitente;82.47;1.59;28.36;1398.35;190;5
12/01/2025 10:00;MCH_01;bomba;intermitente;77.1;1.4;28.0;1521.31;191;6
12/01/2025 11:00;MCH_01;bomba;intermitente;69.51;1.61;32.24;1381.38;192;7
12/01/2025 12:00;MCH_01;bomba;intermitente;73.13;1.23;26.05;1343.76;193;8
12/01/2025 13:00;MCH_01;bomba;intermitente;74.23;1.83;29.29;1374.05;194;9
12/01/2025 14:00;MCH_01;bomba;intermitente;76.37;1.02;27.23;1564.39;195;10
12/01/2025 15:00;MCH_01;bomba;intermitente;77.81;1.08;26.41;1340.61;196;11
12/01/2025 16:00;MCH_01;bomba;intermitente;73.9;2.04;28.34;1405.75;196;12
12/01/2025 17:00;MCH_01;bomba;intermitente;80.46;2.08;28.33;1454.73;197;13
12/01/2025 18:00;MCH_01;bomba;intermitente;74.69;1.52;26.03;1374.66;198;14
12/01/2025 19:00;MCH_01;bomba;intermitente;78.53;1.41;26.51;1520.26;199;15
12/01/2025 20:00;MCH_01;bomba;intermitente;79.11;1.51;27.84;1517.1;200;16
12/01/2025 21:00;MCH_01;bomba;intermitente;72.03;1.39;29.66;1302.67;201;17
12/01/2025 22:00;MCH_01;bomba;intermitente;77.47;1.29;29.54;1435.17;202;18
12/01/2025 23:00;MCH_01;bomba;intermitente;76.4;1.47;28.67;1488.39;203;19
13/01/2025 0:00;MCH_01;bomba;intermitente;73.98;1.38;28.4;1469.16;204;20
13/01/2025 1:00;MCH_01;bomba;intermitente;75.99;1.53;23.46;1571.75;205;21
13/01/2025 2:00;MCH_01;bomba;intermitente;73.21;1.09;32.27;1515.41;206;22
13/01/2025 3:00;MCH_01;bomba;intermitente;71.45;1.41;29.43;1534.75;207;23
13/01/2025 4:00;MCH_01;bomba;intermitente;77.39;1.97;24.95;1428.24;208;24
13/01/2025 5:00;MCH_01;bomba;intermitente;72.47;1.55;30.45;1560.39;208;25
